logFC	AveExpr	t	P.Value	adj.P.Val	B
GLYATL1 /// LOC100287413	2.3824645717311	7.170306702655	7.97476814701581	1.05350302045647e-07	0.00211558747584305	7.61456976713314
DPYSL3	-1.46336698687942	7.62118336865268	-7.50715504751533	2.6806643041083e-07	0.00211558747584305	6.79802262856833
PTRF	-1.5506365860455	8.01611298897509	-7.50389504209051	2.69845341306512e-07	0.00211558747584305	6.79220503419084
DLX2	1.68485989940422	5.17029250302832	6.81591540266616	1.12509373747917e-06	0.00484097344262738	5.52588669481743
TPM4	-0.790650191383177	8.46910077111537	-6.77304428974569	1.23235775084234e-06	0.00484097344262738	5.44445538667862
CALD1	-1.10029956856854	7.86028887320779	-6.77205935239218	1.23494220475188e-06	0.00484097344262738	5.44258112270503
HPN	2.41144654297986	9.58225514024229	6.67397186253859	1.52241294697663e-06	0.00511530750184148	5.25515905458128
TMEM43	-0.600436800195649	7.07925212645732	-6.55394080684856	1.97013148668705e-06	0.00531264476977097	5.02375042086614
HOXC6	3.33015395516385	6.21279314940349	6.53939776956879	2.03289978435114e-06	0.00531264476977097	4.99556016444568
DLX1	2.75443567676418	5.45543670031405	6.38891494469743	2.81676358803623e-06	0.00613071131642309	4.70194789364306
KCTD9	-0.726212444672179	8.39387024049561	-6.38075530391528	2.86725444220468e-06	0.00613071131642309	4.68592818897945
FZD1	-0.918185958344748	5.47456168506475	-6.28136910914151	3.56238399138652e-06	0.006551117436477	4.48999582747415
NDRG2	-1.30031549889185	7.0829062646079	-6.27392742112187	3.62094075995753e-06	0.006551117436477	4.47526529223451
STARD4	-1.33293535622323	7.89455459928066	-6.15195329591442	4.73484159761577e-06	0.00672090323140271	4.23264949356273
ABCC6 /// ABCC6P1 /// ABCC6P2 /// LOC101930322	-2.01837097167511	5.11017259188134	-6.1428419824544	4.83101877226095e-06	0.00672090323140271	4.21443840040609
SPG20	-0.882323660526037	5.89295036187968	-6.1346959646653	4.91870181602644e-06	0.00672090323140271	4.19814640918889
LOC100506834	-1.33322599145795	4.33533487688582	-6.11876397808923	5.09493861414284e-06	0.00672090323140271	4.1662545661705
TACC1	-0.924062811676278	7.53092470477442	-6.11446892254031	5.14354839137962e-06	0.00672090323140271	4.15765062235344
MYRIP	0.863459634033904	6.32650960757681	6.01491624389642	6.41386793378456e-06	0.00762559176293281	3.95747886331467
FERMT2	-1.00743128864921	8.35391155205209	-6.01000099197604	6.48434673718776e-06	0.00762559176293281	3.94755895634813
ACSM1	1.59376639688458	5.16665101247313	5.97596928976699	6.99458418061689e-06	0.00783393428229092	3.87878267911928
SRI	-0.508150197631773	9.37157269794781	-5.89005439673951	8.47370183862006e-06	0.00871449265878305	3.70443070750301
SLC16A2	-1.07214716719022	6.37325946817973	-5.88752395096253	8.52182530408206e-06	0.00871449265878305	3.699280001054
LOC100996425	4.15985881680275	8.38419883433154	5.853391263947	9.19896835982651e-06	0.00901498899262998	3.62971724296704
SOWAHA	-1.59785326337198	5.99063444198302	-5.76783985332472	1.11486926588958e-05	0.0100022917278005	3.45466795743089
BIRC5 /// EPR-1	1.12653260544433	6.66017855588482	5.76434008576808	1.12369083879147e-05	0.0100022917278005	3.44748609110443
CALM1	-1.73324988689262	8.56842378384429	-5.74816080726636	1.16540937348598e-05	0.0100022917278005	3.41426351632365
FNDC4	-1.06125574789284	5.90234340716425	-5.70835919860306	1.2749082946056e-05	0.0100022917278005	3.33238801299357
OLFML2A	-1.25210728712634	6.9838506717172	-5.68682934319769	1.33846542591341e-05	0.0100022917278005	3.28801291924016
OR7E14P	0.909304722237105	4.43460866228017	5.68585812748204	1.34140764300477e-05	0.0100022917278005	3.2860097335156
RAB17	1.45524650410013	7.13430908931719	5.67792957642914	1.36567499162674e-05	0.0100022917278005	3.26965210216698
RCL1	0.541994420504077	6.7469989308556	5.66901801165192	1.39348697122079e-05	0.0100022917278005	3.25125670868804
ANXA2	-1.0865764821703	10.5182410952627	-5.64064914464797	1.48593611203548e-05	0.0100022917278005	3.19262941280312
LOC441204	0.847597574678579	5.25513893364776	5.63979513494621	1.48881431548435e-05	0.0100022917278005	3.19086291724141
LRCH2	-1.26497108901213	6.82172939316945	-5.63579759234354	1.50236280049344e-05	0.0100022917278005	3.18259287731238
ACSS3	-1.41018350962924	6.03669651432492	-5.62747847032806	1.5309630195613e-05	0.0100022917278005	3.1653759323068
HOXC4	2.40161745697806	6.73757992294922	5.60691984062546	1.60404955529607e-05	0.0100922620922546	3.12279102888583
AMACR /// C1QTNF3-AMACR	3.33797284536812	9.74051727502574	5.59970017770142	1.63055254891868e-05	0.0100922620922546	3.10782368478928
ZBTB4	-0.46939027838411	10.2447291198408	-5.55389604145667	1.80943761693605e-05	0.0109123007052143	3.01271411453454
MAPRE1	-0.495912644420071	9.12962460636084	-5.52773216035257	1.92048247135087e-05	0.0112924369315431	2.95827026810664
MAP1B	-1.19639751631494	8.1733562867332	-5.51388019720747	1.9820631303996e-05	0.0113702743480484	2.92941225126307
RGAG4	-0.970632134267489	7.00987789303806	-5.47655899267648	2.15819695850204e-05	0.0116105560294766	2.85154532772324
DNAJB5	-0.984677480552664	5.52035929532933	-5.4679479224568	2.20105397062579e-05	0.0116105560294766	2.83355558230181
MSRB3	-1.20814294890798	6.64531284614513	-5.46366694929519	2.22268210833923e-05	0.0116105560294766	2.82460875265132
TBC1D30	1.19230763396823	6.06938327574724	5.45208745015524	2.28227548231632e-05	0.0116105560294766	2.80039785162517
SNHG19	1.27252144744361	10.5583262467169	5.44520973088589	2.31843976582778e-05	0.0116105560294766	2.7860101617681
MMGT1	-0.592444431799217	10.5090953037374	-5.43829053099173	2.35541167666992e-05	0.0116105560294766	2.77153010486254
RPL22L1	1.45058051739862	9.48934704995712	5.43568279140824	2.36950123050542e-05	0.0116105560294766	2.76607134342242
CAV2	-1.13378943265825	7.09706517981826	-5.40823372686177	2.52312213992782e-05	0.0121109862716535	2.70856450756839
AOX1	-1.92867264632409	6.35769364855356	-5.38872839761866	2.63842050667968e-05	0.0124111300634212	2.66764734120859
CAV1	-1.398493767159	8.87574635681524	-5.360828003862	2.81274218129159e-05	0.0125222086914122	2.60904426012204
ESRP2 /// MIR6773	1.12686678290365	10.1581504926904	5.35732939058618	2.83541405659648e-05	0.0125222086914122	2.60168944284317
SPOCK3	-1.36792903330001	6.74853661359882	-5.34767087577012	2.8989744024104e-05	0.0125222086914122	2.58137811188477
BC015774 /// SEPT7P2	0.627251749122701	8.29008416922158	5.33688212826038	2.97168998102625e-05	0.0125222086914122	2.55867767141636
HOXD11	-1.29846783545807	5.13421001507648	-5.33032725134241	3.01677363738157e-05	0.0125222086914122	2.54487935087001
CACFD1	0.558622949441068	7.17498778962618	5.32228797343786	3.07301880394185e-05	0.0125222086914122	2.52794982280669
EZH2	1.03626584530872	7.87129008196775	5.31850596602296	3.09984690615603e-05	0.0125222086914122	2.51998301692814
RBFOX2	-0.733740118845703	7.0993881718467	-5.29500415446012	3.27198836020497e-05	0.0125222086914122	2.47044137901252
GAL	1.04296693421571	5.29063050914606	5.28644252096071	3.33708985102917e-05	0.0125222086914122	2.45237862949596
NID1	-0.800672151081313	5.43239278636216	-5.28451851555719	3.35190019888782e-05	0.0125222086914122	2.44831840716327
CDC42EP4	-0.551642400277081	7.55695062007486	-5.27998456906064	3.38706605203977e-05	0.0125222086914122	2.43874886150394
NFIC	-0.537383502504379	8.47497053233653	-5.26756632465435	3.48531789009719e-05	0.0125222086914122	2.41252710419728
NDE1	-0.774600203079958	5.86680540354345	-5.2576360364848	3.56596837188728e-05	0.0125222086914122	2.39154697941089
WDR12	0.65767831677372	5.98993871136873	5.2511591651937	3.61959178399085e-05	0.0125222086914122	2.37785740557826
LOC101928731	-1.39820345007152	4.33245530471174	-5.24532910445134	3.66856130476722e-05	0.0125222086914122	2.36553115679976
CACNA1D	1.82843136168666	7.8843297312099	5.23770806201603	3.73359188385206e-05	0.0125222086914122	2.34941293434214
AKAP12	-1.26948644766685	7.46568305699182	-5.23669830436206	3.74229569233264e-05	0.0125222086914122	2.34727687853595
SLC43A1	1.55460597383093	8.27425384484154	5.23488206022327	3.75800314288408e-05	0.0125222086914122	2.34343450183615
ANXA2P2	-0.848628344258756	8.45666686290138	-5.23212108038355	3.78200949146799e-05	0.0125222086914122	2.33759281972752
BMPR1A	-0.523519660194717	8.02887251840052	-5.22843358657931	3.81431517430142e-05	0.0125222086914122	2.32978958192213
MIR1204 /// PVT1	0.610774401791466	5.58616288191051	5.22144514759832	3.87631195778771e-05	0.0125222086914122	2.31499722532536
PHYHIPL	-1.41381023975021	5.81378210842224	-5.21965483659638	3.89235862825489e-05	0.0125222086914122	2.31120687939859
