"logFC","AveExpr","t","P.Value","adj.P.Val","B"
"DPYSL3",-1.46336698687942,7.62118336865268,-7.50715504751533,2.6806643041083e-07,0.00211558747584305,6.79802262856833
"PTRF",-1.5506365860455,8.01611298897509,-7.50389504209051,2.69845341306512e-07,0.00211558747584305,6.79220503419084
"CALD1",-1.10029956856854,7.86028887320779,-6.77205935239218,1.23494220475188e-06,0.00484097344262738,5.44258112270503
"NDRG2",-1.30031549889185,7.0829062646079,-6.27392742112187,3.62094075995753e-06,0.006551117436477,4.47526529223451
"STARD4",-1.33293535622323,7.89455459928066,-6.15195329591442,4.73484159761577e-06,0.00672090323140271,4.23264949356273
"ABCC6 /// ABCC6P1 /// ABCC6P2 /// LOC101930322",-2.01837097167511,5.11017259188134,-6.1428419824544,4.83101877226095e-06,0.00672090323140271,4.21443840040609
"LOC100506834",-1.33322599145795,4.33533487688582,-6.11876397808923,5.09493861414284e-06,0.00672090323140271,4.1662545661705
"FERMT2",-1.00743128864921,8.35391155205209,-6.01000099197604,6.48434673718776e-06,0.00762559176293281,3.94755895634813
"SLC16A2",-1.07214716719022,6.37325946817973,-5.88752395096253,8.52182530408206e-06,0.00871449265878305,3.699280001054
"SOWAHA",-1.59785326337198,5.99063444198302,-5.76783985332472,1.11486926588958e-05,0.0100022917278005,3.45466795743089
"CALM1",-1.73324988689262,8.56842378384429,-5.74816080726636,1.16540937348598e-05,0.0100022917278005,3.41426351632365
"FNDC4",-1.06125574789284,5.90234340716425,-5.70835919860306,1.2749082946056e-05,0.0100022917278005,3.33238801299357
"OLFML2A",-1.25210728712634,6.9838506717172,-5.68682934319769,1.33846542591341e-05,0.0100022917278005,3.28801291924016
"ANXA2",-1.0865764821703,10.5182410952627,-5.64064914464797,1.48593611203548e-05,0.0100022917278005,3.19262941280312
"LRCH2",-1.26497108901213,6.82172939316945,-5.63579759234354,1.50236280049344e-05,0.0100022917278005,3.18259287731238
"ACSS3",-1.41018350962924,6.03669651432492,-5.62747847032806,1.5309630195613e-05,0.0100022917278005,3.1653759323068
"MAP1B",-1.19639751631494,8.1733562867332,-5.51388019720747,1.9820631303996e-05,0.0113702743480484,2.92941225126307
"MSRB3",-1.20814294890798,6.64531284614513,-5.46366694929519,2.22268210833923e-05,0.0116105560294766,2.82460875265132
"CAV2",-1.13378943265825,7.09706517981826,-5.40823372686177,2.52312213992782e-05,0.0121109862716535,2.70856450756839
"AOX1",-1.92867264632409,6.35769364855356,-5.38872839761866,2.63842050667968e-05,0.0124111300634212,2.66764734120859
"CAV1",-1.398493767159,8.87574635681524,-5.360828003862,2.81274218129159e-05,0.0125222086914122,2.60904426012204
"SPOCK3",-1.36792903330001,6.74853661359882,-5.34767087577012,2.8989744024104e-05,0.0125222086914122,2.58137811188477
"HOXD11",-1.29846783545807,5.13421001507648,-5.33032725134241,3.01677363738157e-05,0.0125222086914122,2.54487935087001
"LOC101928731",-1.39820345007152,4.33245530471174,-5.24532910445134,3.66856130476722e-05,0.0125222086914122,2.36553115679976
"AKAP12",-1.26948644766685,7.46568305699182,-5.23669830436206,3.74229569233264e-05,0.0125222086914122,2.34727687853595
"PHYHIPL",-1.41381023975021,5.81378210842224,-5.21965483659638,3.89235862825489e-05,0.0125222086914122,2.31120687939859
"SDC4",-1.27303462606567,9.88746964604822,-5.20953671914393,3.98432592400221e-05,0.0125222086914122,2.28977916118986
"RGS7BP",-1.14360646464041,6.38110921317006,-5.20029766531155,4.07023200551428e-05,0.0125222086914122,2.27020391486858
"FHL1",-1.23362222738246,8.27227102391901,-5.15984452106192,4.46911004074865e-05,0.0126953382121418,2.18439210180828
"PARM1",-1.32783360394087,9.21280331935998,-5.15251209846418,4.545555897422e-05,0.0127275565127816,2.16882059947919
"ST8SIA1",-1.42910428943838,5.2774946534603,-5.13044252381939,4.7837611705727e-05,0.0128212757335953,2.12192067318594
"LOC102723845",-1.04861828283684,5.47005758720769,-5.11450629037525,4.96361774655111e-05,0.0129715877109869,2.08802526286603
"FAM107A",-1.37794356658656,7.87536978051539,-5.0610178443739,5.61906488550487e-05,0.0140468551691934,1.97408239204287
"MAMLD1",-1.54017872433548,6.60880586949592,-4.99976748436809,6.47840612920451e-05,0.0142786936895447,1.84328304297928
"UBXN10",-1.06911939038838,5.33854810043313,-4.95345735105602,7.21571959992721e-05,0.0147142747877036,1.7441707662599
"PEG10",-1.87469368894544,4.56977524709668,-4.93062584936125,7.60998057515578e-05,0.0149155619273053,1.69524094742257
"ITIH5",-1.21481834017649,6.93515736837814,-4.89004917450568,8.36534938968888e-05,0.0158189405867432,1.60817783983739
"RBM38",-1.12888342970737,7.13320989995295,-4.88483516166548,8.46776934535927e-05,0.0158189405867432,1.59698101628136
"VWA5A",-1.29616434286349,7.64196260221172,-4.86115378265348,8.94916710291764e-05,0.0158189405867432,1.54610020661756
"C8orf88",-1.27788230759531,5.28418925959859,-4.85601085610135,9.0573229747785e-05,0.0158189405867432,1.53504471538446
"MAMDC2",-1.16278512805239,6.80820661049131,-4.8549522551245,9.0797490612684e-05,0.0158189405867432,1.53276884813824
"ZNF516",-1.16558416780277,8.50474795117346,-4.83348092560895,9.54694120972866e-05,0.016271308496581,1.48659010845904
"SLC16A5",-1.35987916918342,6.57217289711342,-4.82355001928121,9.77118270164464e-05,0.0164042541881729,1.46522015025619
"TMEM246",-1.51781278450195,5.91557527089414,-4.78912512155326,0.000105905832666924,0.0169672139693292,1.39108819617226
"C2orf88",-1.39829428663678,4.40927430099209,-4.78137750310285,0.000107843804825652,0.0170175997906083,1.3743928167302
