D_GSM1348933.CEL	D_GSM1348934.CEL	D_GSM1348935.CEL	D_GSM1348936.CEL	D_GSM1348938.CEL	D_GSM1348939.CEL	D_GSM1348940.CEL	D_GSM1348941.CEL	D_GSM1348942.CEL	D_GSM1348943.CEL	D_GSM1348944.CEL	D_GSM1348945.CEL	H_GSM1348946.CEL	H_GSM1348947.CEL	H_GSM1348949.CEL	H_GSM1348950.CEL	H_GSM1348951.CEL	H_GSM1348952.CEL	H_GSM1348953.CEL
GLYATL1 /// LOC100287413	7.95806369840353	8.8315051943872	6.96596550425254	7.33827047567711	8.66521717960545	8.62349130687521	8.0069530405964	7.99500731148046	8.50763406585875	7.23411758210368	7.33016330883412	9.12029302828094	6.35421744919509	4.55398295568504	6.21742201307489	5.32391673846061	5.72147819434352	5.85872454267365	5.6294037606568
DLX2	5.60740854389437	5.74497193420399	5.23094231202752	4.81267052483913	6.28615088457505	6.79981862470483	6.04233713646359	6.42063906701309	5.93594061299073	5.60141391868159	5.0618963820745	5.94817438697434	3.28729434639338	4.373696701439	4.10476738623355	4.73610804266111	4.55948711799068	3.67482544435323	4.00701419002444
HPN	10.6124416194906	11.4124992940757	9.09576158830519	9.86493900952306	11.2532831517101	10.1679784248555	10.8079767007784	10.1387431703744	10.3913842670235	9.74517873762122	11.4644348987919	10.693572905111	6.1560813661038	8.4762754976434	9.23442301343581	8.45100631560169	8.40202472829785	8.20437839650458	7.49046457935583
HOXC6	7.44114205884902	7.88465721909402	6.46190233044126	5.04118583746629	8.65266265181634	8.47519667972073	8.17384134977031	7.7594062420704	5.6448598235132	5.60865745205046	9.17868774331903	8.95410431177104	4.44821167086929	3.82476398764389	3.60189450178974	4.61657499749363	3.94711067160367	3.74028717145491	4.58792313792912
DLX1	7.66220830201672	5.65697025451773	5.29193166429405	3.98407130069949	8.08562877326752	7.58374346023592	7.10280317671774	7.21689496105392	6.92569724196339	6.06247566650844	5.45484192456327	6.61547877520364	4.2987587115719	3.58383061108625	3.52525477000426	3.84613252797818	3.49173179937381	3.41816147253902	3.84668191237171
ACSM1	7.02464518532312	5.10333853411134	4.77932101640167	5.28180676494793	6.72948714761014	6.2263294394561	5.97683013600973	5.3631410143546	5.66850506036809	4.97203520041944	6.21241374256992	5.70808403117414	3.98764709263368	4.33035335076302	4.47921601929883	3.98274723954157	4.67325230959278	3.82205109781324	3.84516485460014
LOC100996425	10.6049859533289	12.0761527652338	8.7269871300282	9.99478496665427	11.7412084357577	11.4623879364825	10.7567263680634	8.36421690483459	11.3809140814456	5.30344081677909	9.46652032295696	9.12301509943619	5.88845619589006	4.34366255748445	7.62199679622225	5.72011035660391	5.67034482902854	5.42729011047794	5.62657622559095
BIRC5 /// EPR-1	7.48421119729827	6.57856946831715	6.74427045767094	6.84652637252664	7.5386315877495	7.50607243452476	7.46517000842058	7.62188068549008	6.92997351035283	6.56896721173164	6.41494054630679	7.20338913008777	5.77394335172922	6.64822925127777	5.77724862285631	5.56087462273833	5.8109232491286	6.36876360459747	5.70080724900687
RAB17	8.17193239025023	7.36478438442122	6.17559581786047	7.10038965752109	7.76655803210803	7.96088802539174	7.92717107799456	7.41690839440996	7.67631796513039	7.89641905463539	8.31804127782769	8.27042438080342	5.60646565917747	6.99816668641134	6.31849188933798	6.48050881624951	5.86247862597422	6.5843134380536	5.65601712346826
HOXC4	7.55562250926853	8.62157405740393	6.61873861926162	5.90949051260824	8.55834216793233	8.73573843995156	7.96334138795381	7.76290633831899	5.69960280140099	6.41994132373797	8.71188705096898	8.91145104480242	5.82315059008802	5.3088332696028	5.10644870022059	5.03755424071766	5.09973074081735	4.54740757807355	5.62225716290574
