"Sample","Type"
"D1_GSM578969","1"
"D10_GSM578987","1"
"D11_GSM578988","1"
"D12_GSM578992","1"
"D13_GSM578993","1"
"D14_GSM578994","1"
"D15_GSM578995","1"
"D16_GSM579005","1"
"D17_GSM579006","1"
"D19_GSM579008","1"
"D2_GSM578976","1"
"D20_GSM579009","1"
"D21_GSM579013","1"
"D22_GSM579014","1"
"D23_GSM579015","1"
"D24_GSM579016","1"
"D25_GSM579023","1"
"D26_GSM579024","1"
"D27_GSM579025","1"
"D3_GSM578977","1"
"D4_GSM578978","1"
"D5_GSM578979","1"
"D6_GSM578981","1"
"D7_GSM578982","1"
"D8_GSM578983","1"
"D9_GSM578984","1"
"H12_GSM579021","0"
"H2_GSM578967","0"
"H3_GSM578968","0"
"H6_GSM578986","0"
"H7_GSM579000","0"
"H8_GSM579001","0"
"H9_GSM579002","0"
