"logFC","AveExpr","t","P.Value","adj.P.Val","B"
"GLYATL1 /// LOC100287413",2.3824645717311,7.170306702655,7.97476814701581,1.05350302045647e-07,0.00211558747584305,7.61456976713314
"DLX2",1.68485989940422,5.17029250302832,6.81591540266616,1.12509373747917e-06,0.00484097344262738,5.52588669481743
"HPN",2.41144654297986,9.58225514024229,6.67397186253859,1.52241294697663e-06,0.00511530750184148,5.25515905458128
"HOXC6",3.33015395516385,6.21279314940349,6.53939776956879,2.03289978435114e-06,0.00531264476977097,4.99556016444568
"DLX1",2.75443567676418,5.45543670031405,6.38891494469743,2.81676358803623e-06,0.00613071131642309,4.70194789364306
"ACSM1",1.59376639688458,5.16665101247313,5.97596928976699,6.99458418061689e-06,0.00783393428229092,3.87878267911928
"LOC100996425",4.15985881680275,8.38419883433154,5.853391263947,9.19896835982651e-06,0.00901498899262998,3.62971724296704
"BIRC5 /// EPR-1",1.12653260544433,6.66017855588482,5.76434008576808,1.12369083879147e-05,0.0100022917278005,3.44748609110443
"RAB17",1.45524650410013,7.13430908931719,5.67792957642914,1.36567499162674e-05,0.0100022917278005,3.26965210216698
"HOXC4",2.40161745697806,6.73757992294922,5.60691984062546,1.60404955529607e-05,0.0100922620922546,3.12279102888583
"AMACR /// C1QTNF3-AMACR",3.33797284536812,9.74051727502574,5.59970017770142,1.63055254891868e-05,0.0100922620922546,3.10782368478928
"TBC1D30",1.19230763396823,6.06938327574724,5.45208745015524,2.28227548231632e-05,0.0116105560294766,2.80039785162517
"SNHG19",1.27252144744361,10.5583262467169,5.44520973088589,2.31843976582778e-05,0.0116105560294766,2.7860101617681
"RPL22L1",1.45058051739862,9.48934704995712,5.43568279140824,2.36950123050542e-05,0.0116105560294766,2.76607134342242
"ESRP2 /// MIR6773",1.12686678290365,10.1581504926904,5.35732939058618,2.83541405659648e-05,0.0125222086914122,2.60168944284317
"EZH2",1.03626584530872,7.87129008196775,5.31850596602296,3.09984690615603e-05,0.0125222086914122,2.51998301692814
"GAL",1.04296693421571,5.29063050914606,5.28644252096071,3.33708985102917e-05,0.0125222086914122,2.45237862949596
"CACNA1D",1.82843136168666,7.8843297312099,5.23770806201603,3.73359188385206e-05,0.0125222086914122,2.34941293434214
"SLC43A1",1.55460597383093,8.27425384484154,5.23488206022327,3.75800314288408e-05,0.0125222086914122,2.34343450183615
"PCA3",3.74250504279231,6.53619810506898,5.20956157616732,3.98409730321798e-05,0.0125222086914122,2.28983181522814
"LINC00992 /// LINC00992",2.06694467462884,7.06140506342307,5.17681383643167,4.29716298416726e-05,0.0126336591734518,2.22040851754088
"ZNF577",1.55230866628252,6.64153300984154,5.16845040442313,4.38105155886362e-05,0.0126953382121418,2.20266119195653
"MMP26",2.7514841137797,6.95555418216699,5.1587852397371,4.48007258336635e-05,0.0126953382121418,2.1821428871384
"LOC101928099",1.38005817263333,4.86075903097056,5.11580212639215,4.94873978787657e-05,0.0129715877109869,2.09078234099471
"P2RX5",1.54145079527129,5.83150434856037,5.07271780609191,5.46855940311244e-05,0.0139697311801895,1.99902888322784
"LINC00324",1.08960419246446,6.11296981578484,5.00195390320246,6.44554748469929e-05,0.0142786936895447,1.84795783677497
"NEK5",1.39016467854949,6.62365495868691,4.97570555059974,6.85144101740322e-05,0.0142949371010387,1.79180881220427
"GLYATL1",1.66172281873448,5.28922645001349,4.97467530240958,6.86789069905345e-05,0.0142949371010387,1.78960375782648
"KIF4A",1.13655500024734,4.60107715902795,4.86601667748873,8.84810287221766e-05,0.0158189405867432,1.55655189770722
"AMACR",3.23259133043487,7.58446954878739,4.7885636478272,0.000106045087308307,0.0169672139693292,1.38987841172448
"EFCAB4A",1.37776695840272,8.36317711199816,4.77866553430588,0.000108530610909492,0.0170175997906083,1.36854781717191
"LOC100507472 /// PCSK6",1.04302268010379,5.56342775476583,4.72245650169102,0.000123805002685738,0.0178643783016476,1.24729352072378
"TRPM4",1.39905420241169,9.86497425667254,4.69042840858904,0.000133462072942674,0.0187065247876084,1.17811342045129
